Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,2
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,23
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0002809520810842514
power__switching__total,0.00017376757750753313
power__leakage__total,7.497908960374389E-9
power__total,0.00045472715282812715
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.1062374662755867
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2712638801474243
timing__hold__ws__corner:nom_tt_025C_1v80,-0.4602678368713737
timing__setup__ws__corner:nom_tt_025C_1v80,11.100999544919569
timing__hold__tns__corner:nom_tt_025C_1v80,-9.718757629314062
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,-0.4602678368713737
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,30
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.824256
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,20.266373
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,36
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,23
design__max_cap_violation__count__corner:nom_ss_100C_1v60,18
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.1110518375357312
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2815836254977824
timing__hold__ws__corner:nom_ss_100C_1v60,-0.644119886770571
timing__setup__ws__corner:nom_ss_100C_1v60,10.87854281891629
timing__hold__tns__corner:nom_ss_100C_1v60,-12.092000631938964
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,-0.644119886770571
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,30
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.834064
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.802315
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,2
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,23
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.103588918153135
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26715960755391327
timing__hold__ws__corner:nom_ff_n40C_1v95,-0.3843077076458508
timing__setup__ws__corner:nom_ff_n40C_1v95,11.133537074067087
timing__hold__tns__corner:nom_ff_n40C_1v95,-7.6278727715464045
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,-0.3843077076458508
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,30
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.466388
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,21.856569
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,2
design__max_fanout_violation__count__corner:min_tt_025C_1v80,23
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.104042777338438
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2694768651164474
timing__hold__ws__corner:min_tt_025C_1v80,-0.4516009916068247
timing__setup__ws__corner:min_tt_025C_1v80,11.11670253982398
timing__hold__tns__corner:min_tt_025C_1v80,-9.742652294015043
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,-0.4516009916068247
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,30
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.812139
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,20.288956
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,36
design__max_fanout_violation__count__corner:min_ss_100C_1v60,23
design__max_cap_violation__count__corner:min_ss_100C_1v60,18
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.1096387456300234
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.27943201321520705
timing__hold__ws__corner:min_ss_100C_1v60,-0.6308451717342983
timing__setup__ws__corner:min_ss_100C_1v60,10.906026612712786
timing__hold__tns__corner:min_ss_100C_1v60,-12.164110951695417
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,-0.6308451717342983
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,30
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.812477
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,15.842478
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,2
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,23
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.101527900071931
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.26486988352316854
timing__hold__ws__corner:min_ff_n40C_1v95,-0.38633541903537383
timing__setup__ws__corner:min_ff_n40C_1v95,11.145463534224124
timing__hold__tns__corner:min_ff_n40C_1v95,-7.635567061413876
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-0.38633541903537383
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,30
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.458390
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,21.871113
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,2
design__max_fanout_violation__count__corner:max_tt_025C_1v80,23
