Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,2014
design__instance__area,7868.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,18
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00028088060207664967
power__switching__total,0.00013220513937994838
power__leakage__total,7.497908960374389E-9
power__total,0.0004130932502448559
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26623290436904967
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2712554979633513
timing__hold__ws__corner:nom_tt_025C_1v80,0.7822167024399039
timing__setup__ws__corner:nom_tt_025C_1v80,17.705988287812893
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.782217
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,20.266394
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,18
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.271076585517873
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2815877333230897
timing__hold__ws__corner:nom_ss_100C_1v60,1.7931693304433487
timing__setup__ws__corner:nom_ss_100C_1v60,15.408732503856083
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.793169
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.802336
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,18
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26358915796131516
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26715874713104487
timing__hold__ws__corner:nom_ff_n40C_1v95,0.4318637791837396
timing__setup__ws__corner:nom_ff_n40C_1v95,18.47255556361084
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.431864
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,21.856577
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,18
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2615322199498423
clock__skew__worst_setup,0.2648737137927118
timing__hold__ws,0.4298734268000518
timing__setup__ws,15.364376872321795
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.429873
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.758225
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 300.0 300.0
design__core__bbox,5.52 10.88 294.4 288.32
design__io,123
design__die__area,90000
design__core__area,80146.9
design__instance__count__stdcell,2014
design__instance__area__stdcell,7868.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0981797
design__instance__utilization__stdcell,0.0981797
design__instance__count__class:buffer,1
design__instance__count__class:inverter,84
design__instance__count__class:sequential_cell,80
design__instance__count__class:multi_input_combinational_cell,204
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,8191
design__instance__count__class:tap_cell,1144
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
floorplan__design__io,121
design__io__hpwl,6938849
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,15186.2
design__violations,0
design__instance__count__class:timing_repair_buffer,154
design__instance__count__class:clock_buffer,10
design__instance__count__class:clock_inverter,6
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
design__instance__count__class:antenna_cell,331
antenna_diodes_count,2
route__net,617
route__net__special,2
route__drc_errors__iter:1,108
route__wirelength__iter:1,17419
route__drc_errors__iter:2,12
route__wirelength__iter:2,17320
route__drc_errors__iter:3,9
route__wirelength__iter:3,17303
route__drc_errors__iter:4,0
route__wirelength__iter:4,17298
route__drc_errors,0
route__wirelength,17298
route__vias,3726
route__vias__singlecut,3726
route__vias__multicut,0
design__disconnected_pin__count,44
design__critical_disconnected_pin__count,0
route__wirelength__max,558.52
timing__unannotated_net__count__corner:nom_tt_025C_1v80,69
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,69
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,69
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,18
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26399724820113335
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2694684274212216
timing__hold__ws__corner:min_tt_025C_1v80,0.7792238186366262
timing__setup__ws__corner:min_tt_025C_1v80,17.737722903646294
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.779224
