Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,22
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,25
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.00029213770176284015
power__switching__total,0.000192629944649525
power__leakage__total,8.414335006534657E-9
power__total,0.00048477607197128236
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.110459866602259
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2704223310709578
timing__hold__ws__corner:nom_tt_025C_1v80,-0.4613793921950653
timing__setup__ws__corner:nom_tt_025C_1v80,11.282230580228104
timing__hold__tns__corner:nom_tt_025C_1v80,-8.710076462172092
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,-0.4613793921950653
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,30
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.856096
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,20.214220
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,50
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,25
design__max_cap_violation__count__corner:nom_ss_100C_1v60,18
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.1215594326271687
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28152234118508984
timing__hold__ws__corner:nom_ss_100C_1v60,-0.6432952130845561
timing__setup__ws__corner:nom_ss_100C_1v60,11.224797409272295
timing__hold__tns__corner:nom_ss_100C_1v60,-10.451356520489888
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,-0.6432952130845561
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,30
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.888081
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.702125
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,16
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,25
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.1044273586050446
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26438893489529874
timing__hold__ws__corner:nom_ff_n40C_1v95,-0.34862691498211595
timing__setup__ws__corner:nom_ff_n40C_1v95,11.253620576163577
timing__hold__tns__corner:nom_ff_n40C_1v95,-6.88014775736608
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,-0.34862691498211595
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,30
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.471968
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,21.823437
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,11
design__max_fanout_violation__count__corner:min_tt_025C_1v80,25
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.109477985331511
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2694524402092149
timing__hold__ws__corner:min_tt_025C_1v80,-0.453295191990318
timing__setup__ws__corner:min_tt_025C_1v80,11.294812516077418
timing__hold__tns__corner:min_tt_025C_1v80,-8.798183763898189
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,-0.453295191990318
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,30
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.844323
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,20.243538
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,44
design__max_fanout_violation__count__corner:min_ss_100C_1v60,25
design__max_cap_violation__count__corner:min_ss_100C_1v60,18
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.1200584110554237
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.2800341982007947
timing__hold__ws__corner:min_ss_100C_1v60,-0.6313514334478454
timing__setup__ws__corner:min_ss_100C_1v60,11.246721206004219
timing__hold__tns__corner:min_ss_100C_1v60,-10.640336912729474
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,-0.6313514334478454
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,30
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.869300
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,15.754191
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,10
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,25
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.1036493142873827
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.26362332507586433
timing__hold__ws__corner:min_ff_n40C_1v95,-0.3468776475350439
timing__setup__ws__corner:min_ff_n40C_1v95,11.263038820392444
timing__hold__tns__corner:min_ff_n40C_1v95,-6.925088698495504
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-0.3468776475350439
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,30
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.462781
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,21.842365
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,24
design__max_fanout_violation__count__corner:max_tt_025C_1v80,25
